"Time","Self side","Rank1","Rank2","Opponent","Rank1","Rank2","Type","Size","Handicap","Result1","Result2","Result3"
2014/9/21 0:11,B,9k,-8,Boniface,9k,-8,Ranked,19,0,W,0,8.5
2014/9/21 0:32,W,9k,-8,Boniface,9k,-8,Ranked,19,0,B,0,Res.
2014/9/21 0:35,W,9k,-8,paopa0,9k,-8,Ranked,19,0,W,1,3.5
2014/9/21 5:51,W,9k,-8,Hetzer,14k,-13,Ranked,19,5,W,1,1.5
2014/9/21 18:44,W,9k,-8,chtijean,12k,-11,Ranked,19,3,B,0,1.5
2014/9/21 20:39,B,9k,-8,Amadeus1,6k,-5,Ranked,19,3,W,0,9.5
2014/9/22 1:33,B,9k,-8,FarvaOCola,7k,-6,Ranked,19,2,W,0,33.5
2014/9/22 5:25,B,9k,-8,iioka,6k,-5,Ranked,19,3,B,1,7.5
2014/9/22 6:2,B,9k,-8,karis,8k?,-7,Ranked,19,0,W,0,Res.
2014/9/23 0:27,B,9k,-8,nozomi333,5k,-4,Ranked,19,4,B,1,Res.
2014/9/23 0:45,W,9k,-8,chtijean,12k,-11,Ranked,19,3,W,1,15.5
2014/9/23 2:5,B,9k,-8,K35,3k,-2,Ranked,19,6,W,0,19.5
2014/9/24 1:26,B,9k,-8,capitpolla,8k,-7,Ranked,19,0,W,0,Res.
2014/9/24 2:27,W,9k,-8,Casko,9k,-8,Free,19,0,W,1,33.5
2014/9/24 4:4,B,9k,-8,capitpolla,8k,-7,Ranked,19,0,B,1,22.5
2014/9/24 20:5,B,9k,-8,tyui,6k,-5,Ranked,19,3,W,0,18.5
2014/9/24 22:0,W,9k,-8,rumi,10k,-9,Ranked,19,0,B,0,Res.
2014/9/24 22:9,B,9k,-8,poppeye,9k,-8,Ranked,19,0,W,0,22.5
2014/9/25 1:0,W,9k,-8,icc52124,10k,-9,Ranked,19,0,W,1,Res.
2014/9/25 1:20,W,9k,-8,icc52124,10k,-9,Ranked,19,0,W,1,2.5
2014/9/25 3:18,W,9k,-8,takama,9k,-8,Ranked,19,0,W,1,37.5
2014/9/26 2:29,B,9k,-8,Cybermind,8k,-7,Ranked,19,0,W,0,Res.
2014/9/27 1:42,B,9k,-8,naochan,5k,-4,Ranked,19,4,W,0,Res.
2014/9/27 2:32,B,9k,-8,Sipaktli,5k,-4,Ranked,19,4,B,1,18.5
2014/9/30 1:27,B,9k,-8,fuusann,6k,-5,Ranked,19,3,W,0,Res.
2014/9/30 2:53,W,9k,-8,m0ske,9k,-8,Ranked,19,0,B,0,Res.
